id,original_severity,status,residual_severity,confidence,domain,resolution,evidence,residual_or_limitation
F016,High,Resolved,,High,Fault trees,"PAND, XOR, and NOT are rejected by the static coherent solver instead of being reduced to incorrect AND/independent-event semantics.","gui/backend/routers/fault_tree.py::analyze_fault_tree; tests/test_fault_tree_enhanced.py::test_unsupported_gate_semantics_are_explicitly_disabled","Order-aware dynamic gates still require a separate state-space implementation."
F017,High,Resolved,,High,System reliability,"FTA and RBD now expose an exact latent-event beta-factor common-cause model and disclose the active independence/dependency assumptions.","src/reliability/Dependencies.py::beta_factor_decomposition; tests/test_dependencies.py; docs/audit/re-audit-probes.py","Only exchangeable all-members shocks are modeled; MGL/alpha-factor partial groups, load sharing, conditional environment, and beta uncertainty remain out of scope."
F018,High,Resolved,,High,Burn-in,"Post-burn-in mean residual life uses the closed-form incomplete-gamma infinite tail; the exponential memoryless identity passes.","gui/backend/routers/alt.py::burn_in; gui/backend/tests/test_burn_in.py::test_exponential_mean_residual_life_is_memoryless; docs/audit/re-audit-probes.py","None reproduced."
F019,High,Resolved,,High,Maintenance,"Non-increasing hazards return run-to-failure; wear-out searches expand the range and never label an unqualified boundary minimum as an optimum.","src/reliability/Repairable_systems.py::optimal_replacement_time; tests/test_repairable_extras.py::test_nonincreasing_hazard_returns_run_to_failure; docs/audit/re-audit-probes.py","Long-run renewal assumptions remain explicit."
F020,High,Resolved,,High,Repairable systems,"MCF input requires observation ends or explicit event/censor records; events tied to observation end remain events.","src/reliability/Repairable_systems.py::_mcf_prepare; tests/test_repairable_extras.py::test_mcf_requires_explicit_observation_ends","None reproduced."
F021,High,Resolved,,High,Repairable systems,"MCF uncertainty uses Nelson increments with subject-cluster robust influence variance, log intervals or cluster bootstrap, and effective-risk counts.","src/reliability/Repairable_systems.py::_mcf_estimate; tests/test_repairable_extras.py::test_mcf_cluster_bootstrap_is_system_level_and_reproducible","Sparse right-tail estimates remain visibly flagged."
F022,High,Resolved,,High,Parts prediction,"Every named prediction and derating method returns an edition, scope, exclusions, clause coverage, example status, and conformance tier; MIL-HDBK-217F and VITA 51.1 have controlled coverage and parity suites.","src/reliability/Standards.py; tests/test_standards_disclosure.py; tests/test_mil_hdbk_217f.py; tests/test_vita_51_1.py","Telcordia, 217Plus, FIDES, NSWC, EPRD/NPRD, and named derating tables remain explicitly screening-only."
F023,High,Resolved,,High,Human reliability,"Legacy JHEDI/SHERPA/ATHEANA/MERMOS calculators are labeled and routed as screening heuristics; SPAR-H implements PSFs, dependency, and beta uncertainty.","src/reliability/HRA.py; gui/backend/tests/test_hra.py; docs/methodology/human-reliability.md","Screening aliases remain for project/API migration and carry warnings."
F024,High,Resolved,,High,Process capability,"Capability returns an explicit stability assessment/status and withholds the capability decision unless stability is demonstrated.","src/reliability/Process_capability.py; tests/test_process_analysis_rigor.py::test_capability_withholds_decision_when_stability_is_not_demonstrated","Indices remain visible as diagnostic estimates when the decision is withheld."
F025,High,Resolved,,High,Regression,"OLS checks matrix rank, identifies aliased terms, and blocks coefficient inference for non-identifiable designs.","src/reliability/Regression.py::linear_regression; tests/test_regression.py::test_rank_deficient_design_blocks_inference; docs/audit/re-audit-probes.py","None reproduced."
F026,High,Resolved,,High,Physics of failure,"All PoF endpoints validate finite physical domains and units, return mechanism/validity contracts, and optionally propagate input uncertainty.","gui/backend/routers/pof.py; gui/backend/tests/test_pof.py; docs/methodology/physics-of-failure.md","Intervals quantify selected input uncertainty, not population reliability or unmodeled mechanism uncertainty."
F027,Medium,Resolved,,High,Hypothesis tests,"Rank-biserial correlation is now 2U_A/(n_A n_B)-1 and the API states the group-A-minus-group-B direction.","src/reliability/Hypothesis_tests.py::mann_whitney; tests/test_hypothesis_tests.py; docs/audit/re-audit-probes.py","None reproduced."
F028,Medium,Resolved,,High,Hypothesis tests,"Repeated-measures ANOVA reports Mauchly, Greenhouse-Geisser, Huynh-Feldt, and lower-bound corrections; mixed analysis uses pooled REML covariance with explicit approximations/fallback.","src/reliability/Hypothesis_tests.py::repeated_measures_anova; src/reliability/Hypothesis_tests.py::mixed_anova; gui/backend/tests/test_statistical_semantics.py","Mixed-model denominator degrees of freedom remain an explicitly labeled approximation."
F029,Medium,Resolved,,High,Measurement systems,"Classical Gage R&R rejects incompatible designs; REML supports unbalanced crossed and nested designs and reports component intervals, rank, convergence, and boundaries.","src/reliability/MSA.py::gage_rr_reml; tests/test_process_analysis_rigor.py::test_reml_supports_unbalanced_crossed_design_and_reports_intervals","Observed-information intervals can remain weak near variance boundaries and are flagged."
F030,Medium,Resolved,,High,Statistical process control,"SPC separates traceable Phase-I screening from frozen Phase-II baselines and rejects unsupported subgroup sizes instead of clamping constants.","src/reliability/SPC.py; tests/test_process_analysis_rigor.py; gui/backend/tests/test_process_analysis_rigor.py","Phase-I exclusions still require assignable-cause review rather than automatic deletion."
F031,Medium,Resolved,,High,Process capability,"Nonnormal capability compares empirical, Harrell-Davis, fitted-family, and Box-Cox approaches with bootstrap intervals and tail-sufficiency diagnostics.","src/reliability/Process_capability.py; tests/test_process_analysis_rigor.py::test_nonnormal_capability_reports_seeded_bootstrap_sensitivity","The fitted-family bootstrap is conditional on the originally selected family and omits selection uncertainty."
F032,Medium,Resolved,,High,Design of experiments,"Two-level analysis requires exactly two finite levels and reports mappings, rank, aliases, and estimability; other design classes dispatch to dedicated models.","src/reliability/DOE.py::analyze_factorial; tests/test_doe_contract.py","None reproduced."
F033,Medium,Resolved,,High,Design of experiments,"Plackett-Burman generation advertises only verified cyclic/Sylvester constructions, supports up to 63 factors, and checks X'X=N I.","src/reliability/DOE.py::plackett_burman; tests/test_doe.py::test_plackett_burman_declared_capacity_and_large_orthogonality","Intermediate requests advance to the next supported run order and disclose capacity."
F034,Medium,Resolved,,High,Predictive analytics,"Categoricals use fold-fitted one-hot encoding for sklearn estimators and native train-only category/bin handling for CHAID; unknown-category behavior is disclosed.","gui/backend/routers/predictive.py::_make_model; gui/backend/tests/test_predictive_guardrails.py","One-hot unknown categories become an all-zero group as stated."
F035,Medium,Resolved,,High,Predictive analytics,"SVM/KNN/MLP scaling is inside the training pipeline; convergence is captured; stratified, grouped, and time splits plus calibration/imbalance metrics are selectable.","gui/backend/routers/predictive.py; gui/backend/tests/test_predictive_guardrails.py","Comparison is model evaluation, not nested hyperparameter optimization; no tuning claim is made."
F036,Medium,Resolved,,High,Accelerated testing,"ALT reports transformed-space interpolation/extrapolation, convex-hull position, leverage, common-shape diagnostics, and optional refitted bootstrap use-life intervals.","src/reliability/ALT_fitters.py; gui/backend/tests/test_alt_diagnostics.py; docs/methodology/accelerated-life-testing.md","Non-rejection of common shape is not proof of a common physical failure mechanism."
F037,Medium,Resolved,,High,Accelerated testing,"Single/dual-stress designs are rank- and condition-checked in model coordinates, harmful directions are constrained, and remote use points receive leverage and uncertainty diagnostics.","src/reliability/ALT_fitters.py; gui/backend/routers/alt.py::multi_stress; gui/backend/tests/test_alt_diagnostics.py","Physical direction constraints are conditional on the selected model parameterization."
F038,Medium,Resolved,,High,Special lifetime models,"Mixture and competing-risk fits use multiple starts and expose effective weight, component separation, collapse, boundary, stability, identifiability, and simpler-model recommendations.","src/reliability/Special_models.py; tests/test_special_models.py","Weakly identifiable fits remain available only as explicitly ineligible diagnostics."
F039,Medium,Resolved,,High,Bayesian life analysis,"Weibayes response contract v2 enforces sf_lower <= sf <= sf_upper and preserves separately named legacy curves.","src/reliability/Bayesian.py::weibayes_fit; tests/test_weibayes.py::test_ci_band_ordering; docs/audit/re-audit-probes.py","No backward-compatibility ambiguity remains in v2 fields."
F040,Medium,Resolved,,High,Bayesian life analysis,"Weibayes supports beta-range sensitivity envelopes and Bayesian beta propagation under an explicit prior.","src/reliability/Bayesian.py; tests/test_uncertainty_engines.py","The Bayesian result remains conditional on the chosen truncated-normal beta prior."
F041,Medium,Resolved,,High,Reliability growth,"Duane instantaneous MTBF is withheld outside 0 <= alpha < 1 with a Crow-AMSAA/change-point recommendation.","src/reliability/Repairable_systems.py::Duane; tests/test_repairable_systems.py::test_duane_withholds_instantaneous_mtbf_outside_growth_regime","The cumulative Duane regression remains visible as descriptive output."
F042,Medium,Resolved,,High,Maintenance and RAM,"A finite-horizon Kijima-II virtual-age simulation models imperfect maintenance and uncertainty; older renewal-rate forecasts explicitly disclose their steady-state approximation.","src/reliability/Repairable_systems.py::simulate_virtual_age_maintenance; gui/backend/tests/test_maintenance.py::test_virtual_age_endpoint_surfaces_model_and_intervals","The simulation is not a capacity-constrained repair-shop or general semi-Markov inventory model."
F043,Medium,Resolved,,High,Spares and RAM,"Spares analysis now offers negative-binomial overdispersion and finite-horizon renewal/replenishment simulation with stochastic lead times and common shocks.","gui/backend/routers/ram.py::spares; gui/backend/tests/test_ram.py","Multi-echelon logistics, repair capacity, priority, and condemnation yield remain out of scope."
F044,Medium,Resolved,,High,Warranty,"Nevada returns retain fractional weights and use grouped interval-censored likelihood; units still in service are right-censored and forecast parameter intervals are exposed.","src/reliability/Warranty.py; tests/test_warranty.py; docs/methodology/statistical-semantics.md","Reporting-lag, future count variation, and model-selection uncertainty remain excluded and disclosed."
F045,Medium,Resolved,,High,Fault trees,"Fault-tree Monte Carlo reports Wilson intervals, exact one-sided zero-event bounds, and the 1/n resolution limit.","src/reliability/FaultTree.py::monte_carlo; tests/test_fault_tree.py::test_monte_carlo_zero_events_has_non_degenerate_interval","Simulation remains separately labeled from exact evaluation."
F046,Medium,Resolved,,High,Fault trees,"FTA and acyclic RBD exact probabilities use memoized reduced BDDs with explicit state diagnostics; bounded path enumeration is display-only.","src/reliability/FaultTree.py; src/reliability/SystemReliability.py; gui/backend/tests/test_hardening.py::test_rbd_bdd_scales_beyond_old_path_count_guard","State limits and acyclic-RBD scope are explicit; dynamic/repair loops require state-space methods."
F047,Medium,Resolved,,High,Physics of failure,"PoF now compares Paris/Walker/Forman crack growth, Goodman/Soderberg/Gerber mean stress, and linear/nonlinear cumulative damage, with separate model and input sensitivity.","gui/backend/routers/pof.py; gui/backend/tests/test_pof.py; docs/methodology/physics-of-failure.md","Most mechanism laws still depend on analyst-supplied calibrated coefficients and do not quantify model-form probabilities."
F048,Low,Resolved,,High,Regression,"Lasso and elastic net validate hyperparameters, standardize predictors, require both scaled coefficient-change and penalized-objective KKT criteria, and report objective, KKT residual/tolerance, and active support.","src/reliability/Regression.py::_sparse_objective_and_kkt; src/reliability/Regression.py::_active_set_stability; tests/test_regression.py::TestLassoRegression::test_kkt_optimality_and_tolerance_stability_are_reported; tests/test_regression.py::test_elastic_net_reports_kkt_and_active_set_stability; docs/audit/re-audit-probes.py","Support stability is a deterministic ten-times-stricter tolerance refit, not bootstrap selection-frequency inference; the method and comparison diagnostics are returned explicitly."
F049,Low,Resolved,,High,Design of experiments,"The DOE contract now includes randomization, blocking, alias/rank diagnostics, coefficient power, lack-of-fit, response-surface, mixture, and constrained designs.","src/reliability/DOE.py; tests/test_doe_contract.py; gui/backend/tests/test_doe_contract.py","Computer-aided optimal designs and broader constrained-region families remain future extensions, not hidden assumptions."
F050,Low,Resolved,,High,Markov models,"CTMC assumptions are explicit; Erlang phase-type dwell alternatives preserve means/destination probabilities; transition-rate CVs can be propagated by seeded Monte Carlo.","src/reliability/Markov.py; tests/test_markov.py; gui/backend/tests/test_markov_models.py","The option is bounded Erlang phase type, not a general semi-Markov solver or data-based rate posterior."
F051,New,Resolved,,High,Fault trees and RBD,"RBD components and fault-tree basic events now use typed, finite, domain-constrained probability/distribution inputs. Missing fields, unknown families, invalid parameters, invalid times, and out-of-range direct probabilities fail request validation; compute boundaries revalidate and never substitute defaults.","gui/backend/schemas.py::RBDComponentData; gui/backend/schemas.py::FTBasicEventData; gui/backend/routers/_probability_models.py; gui/backend/tests/test_probability_input_contracts.py; docs/audit/re-audit-probes.py","None reproduced across all eight supported distribution families and adversarial public-router payloads."
